,Date,Price,Open,High,Low,Vol.,Change %,Day,Month,Year,MA_5,MA_10,STD_5,STD_10
9,2024-09-27,260.46,257.38,260.7,254.12,70990000.0,0.0245,27,9,2024,253.958,248.805,8.928270829225543,8.462941765918826
10,2024-09-26,254.22,260.6,261.75,251.53,67140000.0,-0.0109,26,9,2024,256.66999999999996,250.04699999999997,5.131110990808882,8.228804489920352
11,2024-09-25,257.02,252.54,257.05,252.28,65030000.0,0.0108,25,9,2024,258.27,251.644,2.9203253243431067,7.828662721052691
12,2024-09-24,254.27,254.08,257.19,249.05,88490000.0,0.0171,24,9,2024,257.52,252.621,3.4365025825684627,7.437931985587289
13,2024-09-23,250.0,242.61,250.0,241.92,86930000.0,0.0493,23,9,2024,255.19399999999996,253.538,3.8679813856842693,6.301133584081901
14,2024-09-20,238.25,241.52,243.99,235.92,99880000.0,-0.0232,20,9,2024,250.752,252.35499999999996,7.425575398580269,7.92400607156648
15,2024-09-19,243.92,234.0,244.24,232.13,102700000.0,0.0736,19,9,2024,248.692,252.68099999999998,7.648331190527823,7.441791077720787
16,2024-09-18,227.2,230.09,235.68,226.88,78010000.0,-0.0029,18,9,2024,242.72799999999998,250.49899999999997,10.59117415587155,10.988324561400004
17,2024-09-17,227.87,229.45,234.57,226.55,66760000.00000001,0.0048,17,9,2024,237.448,247.484,9.960450291026092,12.698615147592514
18,2024-09-16,226.78,229.3,229.96,223.53,54320000.0,-0.0152,16,9,2024,232.804,243.99899999999997,7.830423360202326,13.158805628002657
19,2024-09-13,230.29,228.0,232.67,226.32,59520000.0,0.0021,13,9,2024,231.212,240.98199999999997,7.232756735851313,12.402225427541385
20,2024-09-12,229.81,224.66,231.45,223.83,72020000.0,0.0074,12,9,2024,228.38999999999996,238.541,1.5736104981866168,11.89921047801064
21,2024-09-11,228.13,224.55,228.47,216.8,83550000.0,0.0087,11,9,2024,228.57600000000002,235.652,1.4477154416538818,10.315970143423154
22,2024-09-10,226.17,220.07,226.4,218.64,78890000.0,0.0458,10,9,2024,228.23600000000002,232.842,1.8094142698683404,8.313914441063906
23,2024-09-09,216.27,216.2,219.87,213.67,67440000.0,0.0263,9,9,2024,226.13400000000001,229.469,5.746066480645997,7.367748713895474
24,2024-09-06,210.73,232.6,233.6,210.51,112180000.0,-0.08449999999999999,6,9,2024,222.22200000000004,226.717,8.300019277086301,8.736021278463948
25,2024-09-05,230.17,223.49,235.0,222.25,119360000.0,0.049,5,9,2024,222.294,225.342,8.383440821047413,6.5314313558019235
