"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2024","241.80","241.81","242.76","232.50","61.61M","0.31%"
"10/09/2024","241.05","243.82","247.43","239.51","66.29M","-1.41%"
"10/08/2024","244.50","243.56","246.21","240.56","56.30M","1.52%"
"10/07/2024","240.83","249.00","249.83","240.70","68.11M","-3.70%"
"10/04/2024","250.08","246.69","250.96","244.58","86.73M","3.91%"
"10/03/2024","240.66","244.48","249.79","237.81","80.73M","-3.36%"
"10/02/2024","249.02","247.55","251.16","241.50","93.98M","-3.49%"
"10/01/2024","258.02","262.67","263.98","248.53","87.40M","-1.38%"
"09/30/2024","261.63","259.04","264.86","255.77","80.87M","0.45%"
"09/27/2024","260.46","257.38","260.70","254.12","70.99M","2.45%"
"09/26/2024","254.22","260.60","261.75","251.53","67.14M","-1.09%"
"09/25/2024","257.02","252.54","257.05","252.28","65.03M","1.08%"
"09/24/2024","254.27","254.08","257.19","249.05","88.49M","1.71%"
"09/23/2024","250.00","242.61","250.00","241.92","86.93M","4.93%"
"09/20/2024","238.25","241.52","243.99","235.92","99.88M","-2.32%"
"09/19/2024","243.92","234.00","244.24","232.13","102.70M","7.36%"
"09/18/2024","227.20","230.09","235.68","226.88","78.01M","-0.29%"
"09/17/2024","227.87","229.45","234.57","226.55","66.76M","0.48%"
"09/16/2024","226.78","229.30","229.96","223.53","54.32M","-1.52%"
"09/13/2024","230.29","228.00","232.67","226.32","59.52M","0.21%"
"09/12/2024","229.81","224.66","231.45","223.83","72.02M","0.74%"
"09/11/2024","228.13","224.55","228.47","216.80","83.55M","0.87%"
"09/10/2024","226.17","220.07","226.40","218.64","78.89M","4.58%"
"09/09/2024","216.27","216.20","219.87","213.67","67.44M","2.63%"
"09/06/2024","210.73","232.60","233.60","210.51","112.18M","-8.45%"
"09/05/2024","230.17","223.49","235.00","222.25","119.36M","4.90%"
"09/04/2024","219.41","210.59","222.22","210.57","80.65M","4.18%"
"09/03/2024","210.60","215.26","219.90","209.64","76.71M","-1.64%"
"08/30/2024","214.11","208.63","214.57","207.03","63.37M","3.80%"
"08/29/2024","206.28","209.80","214.89","205.97","62.31M","0.26%"
"08/28/2024","205.75","209.72","211.84","202.59","64.12M","-1.65%"
"08/27/2024","209.21","213.25","215.66","206.94","62.82M","-1.88%"
"08/26/2024","213.21","218.75","219.09","211.01","59.30M","-3.23%"
"08/23/2024","220.32","214.46","221.48","214.21","81.53M","4.59%"
"08/22/2024","210.66","223.82","224.80","210.32","79.51M","-5.65%"
"08/21/2024","223.27","222.67","224.66","218.86","70.15M","0.98%"
"08/20/2024","221.10","224.88","228.22","219.56","74.00M","-0.73%"
